1,0,0,0,0,0
2,147,149,144,147,154
3,175,152,155,151,149
4,176,188,186,201,194
5,221,243,252,250,238
7,302,321,334,374,331
10,416,485,387,409,436
15,581,552,539,613,589
20,659,662,702,685,686
