1,11966,12011,11781,11982,12104
2,6234,6264,6303,6340,6393
3,5252,5282,5174,5253,5285
4,4980,5073,5141,5182,5079
5,4751,4751,4932,4901,4742
7,4655,4491,4537,4543,4571
10,4455,4449,4487,4453,4412
15,4514,4468,4632,4456,4474
20,4794,4576,4557,4542,4471
